tailleTab,triSelection,triInsertion,triBulles,triFusion,triRapide
10,0.000000,0.000000,0.000000,0.001000,0.000000
110,0.000000,0.000000,0.000000,0.000000,0.000000
210,0.000000,0.000000,0.000000,0.000000,0.000000
310,0.000000,0.000000,0.000000,0.000000,0.000000
410,0.000000,0.000000,0.001000,0.000000,0.000000
510,0.000000,0.000000,0.001000,0.000000,0.000000
610,0.001000,0.000000,0.002000,0.000000,0.000000
710,0.001000,0.000000,0.001000,0.001000,0.000000
810,0.001000,0.001000,0.002000,0.000000,0.000000
910,0.002000,0.001000,0.002000,0.000000,0.000000
